id_rls,id_kab_kota,NAMA_KAB_KOTA,PROVINSI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,"72,8","73,4","74,03"
RLS001,1,Simeulue,Aceh,"8,17","8,26","8,34","8,55","8,89","8,9","8,91","9,06","9,07","9,08","9,34","9,48","9,73","9,81","9,89",,,,,,
RLS002,2,Aceh Singkil,Aceh,"6,65","6,86","7,16","7,33","7,48","7,5","7,69","7,84","8,05","8,52","8,53","8,68","8,69","8,7","8,72",,,,,,
RLS003,3,Aceh Selatan,Aceh,"7,5","7,53","7,56","7,59","7,6","7,79","8,02","8,33","8,38","8,59","8,87","8,88","8,89","8,91","8,92",,,,,,
RLS004,4,Aceh Tenggara,Aceh,"8,38","8,45","8,57","8,58","8,77","9,32","9,33","9,63","9,64","9,65","9,66","9,67","9,92","10,09","10,1",,,,,,
RLS005,5,Aceh Timur,Aceh,"7,04","7,09","7,13","7,28","7,38","7,4","7,6","7,8","7,85","7,86","8,15","8,21","8,32","8,47","8,48",,,,,,
RLS006,6,Aceh Tengah,Aceh,"9,07","9,13","9,19","9,25","9,31","9,65","9,66","9,67","9,68","9,69","9,85","9,86","9,87","9,89","10,03",,,,,,
RLS007,7,Aceh Barat,Aceh,"7,64","7,71","7,77","7,83","8,17","8,47","8,7","9,04","9,08","9,09","9,37","9,55","9,87","9,98","9,99",,,,,,
RLS008,8,Aceh Besar,Aceh,"9,43","9,44","9,45","9,46","9,61","9,91","9,92","9,93","10,14","10,31","10,32","10,33","10,35","10,36","10,37",,,,,,
RLS009,9,Pidie,Aceh,"7,94","7,96","8,08","8,15","8,25","8,74","8,75","8,76","8,81","8,82","8,99",9,"9,02","9,03","9,04",,,,,,
RLS010,10,Bireuen,Aceh,"8,34","8,45","8,5","8,58","8,85","9,14","9,15","9,16","9,17","9,27","9,28","9,29","9,31","9,32","9,59",,,,,,
RLS011,11,Aceh Utara,Aceh,"7,05","7,39","7,69","7,83","8,06","8,07","8,09","8,1","8,11","8,46","8,63","8,64","8,73","8,85","9,11",,,,,,
RLS012,12,Aceh Barat Daya,Aceh,"6,9","7,49","7,53","7,69","7,89","7,9","7,93","8,12","8,13","8,35","8,66","8,67","8,68","8,77","8,78",,,,,,
RLS013,13,Gayo Lues,Aceh,"5,59","6,24","6,88",7,"7,04","7,06","7,1","7,39","7,69","7,91","8,2","8,4","8,41","8,42","8,44",,,,,,
RLS014,14,Aceh Tamiang,Aceh,"7,61","7,64","7,66","7,69","7,71","7,95","8,21","8,47","8,7","8,89","8,9","8,91","9,04","9,24","9,3",,,,,,
RLS015,15,Nagan Raya,Aceh,"7,12","7,32","7,73","7,78","7,93","8,22","8,24","8,25","8,26","8,5","8,68","8,69","8,95","8,96","9,25",,,,,,
RLS016,16,Aceh Jaya,Aceh,"7,17","7,34","7,64","7,7","7,88","7,89","7,95","8,13","8,37","8,66","8,7","8,71","8,72","8,74","9,02",,,,,,
RLS017,17,Bener Meriah,Aceh,"7,89","8,22","8,63","8,93",9,"9,42","9,43","9,55","9,56","9,78","9,79",10,"10,01","10,12","10,13",,,,,,
RLS018,18,Pidie Jaya,Aceh,"7,87","7,9","7,93","7,95","8,3","8,45","8,46","8,84","8,86","9,04","9,33","9,34","9,53","9,58","9,59",,,,,,
RLS019,19,Kota Banda Aceh,Aceh,"11,91",12,"12,07","12,19","12,37","12,38","12,57","12,59","12,6","12,64","12,65","12,83","13,03","13,04","13,1",,,,,,
RLS020,20,Kota Sabang,Aceh,"10,08","10,12","10,16","10,21","10,35","10,37","10,51","10,7","10,97","11,13","11,14","11,18","11,19","11,2","11,22",,,,,,
RLS021,21,Kota Langsa,Aceh,"10,33","10,38","10,43","10,47","10,48","10,49","10,71","10,9","11,06","11,1","11,11","11,12","11,14","11,27","11,28",,,,,,
RLS022,22,Kota Lhokseumawe,Aceh,10,"10,08","10,16","10,37","10,39","10,41","10,53","10,88","10,89","10,9","10,91","11,11","11,12","11,27","11,31",,,,,,
RLS023,23,Kota Subulussalam,Aceh,"6,3","6,41","6,53","6,65","6,77","6,78","6,88","7,12","7,39","7,58","7,84","8,03","8,22","8,32","8,43",,,,,,
RLS024,24,Nias,Sumatera Utara,"4,59","4,63","4,67","4,71","4,75","4,76","4,92","4,93","4,94","5,15","5,36","5,64","5,88","6,14","6,4",,,,,,
RLS025,25,Mandailing Natal,Sumatera Utara,"7,27","7,39","7,47","7,52","7,54","7,63","7,89",8,"8,11","8,36","8,62","8,63","8,76","8,84","9,11",,,,,,
RLS026,26,Tapanuli Selatan,Sumatera Utara,"7,87","7,92","7,96","8,04","8,22","8,27","8,35","8,67","8,7","8,97","9,28","9,29","9,34","9,51","9,56",,,,,,
RLS027,27,Tapanuli Tengah,Sumatera Utara,"7,36","7,41","7,45","7,5","7,55","8,02","8,03","8,28","8,29","8,48","8,62","8,84","8,86","8,87","8,92",,,,,,
RLS028,28,Tapanuli Utara,Sumatera Utara,"8,54","8,6","8,79","9,04","9,05","9,31","9,32","9,46","9,65","9,71","9,85","9,99",10,"10,09","10,31",,,,,,
RLS029,29,Toba Samosir / Toba,Sumatera Utara,"9,67","9,71","9,75","9,79","9,83","10,08","10,09","10,1","10,34","10,36","10,52","10,57","10,58","10,59","10,77",,,,,,
RLS030,30,Labuhan Batu,Sumatera Utara,"8,17","8,32","8,46","8,6","8,68","8,75","8,78","9,01","9,04","9,23","9,24","9,25","9,4","9,49","9,5",,,,,,
RLS031,31,Asahan,Sumatera Utara,"7,57","7,71","7,8","7,89","7,98","8,32","8,33","8,46","8,47","8,49","8,79","8,8","8,82","8,83","8,85",,,,,,
RLS032,32,Simalungun,Sumatera Utara,"8,31","8,33","8,35","8,37","8,7","8,8","8,86","8,95","9,18","9,36","9,6","9,61","9,63","9,72","9,73",,,,,,
RLS033,33,Dairi,Sumatera Utara,"8,29","8,41","8,54","8,58","8,59","8,69","8,7","8,9","9,15","9,34","9,58","9,59","9,72","9,88","9,89",,,,,,
RLS034,34,Karo,Sumatera Utara,"8,88","9,03","9,17","9,25","9,33","9,5","9,51","9,54","9,55","9,62","9,79",10,"10,02","10,03","10,12",,,,,,
RLS035,35,Deli Serdang,Sumatera Utara,"9,19","9,2","9,21","9,37","9,46","9,48","9,68","9,7","9,92","10,08","10,09","10,1","10,27","10,28","10,29",,,,,,
RLS036,36,Langkat,Sumatera Utara,"7,48","7,59","7,69","7,69","7,85","7,92","8,18","8,51","8,52","8,64","8,65","8,66","8,68","8,73","8,74",,,,,,
RLS037,37,Nias Selatan,Sumatera Utara,"3,35","3,75","3,8","4,28","4,64","4,64","4,65","4,95","5,2","5,53","5,85","6,06","6,23","6,48","6,52",,,,,,
RLS038,38,Humbang Hasundutan,Sumatera Utara,"8,57","8,65","8,76","8,8","8,88","8,9","8,91","9,1","9,28","9,53","9,54","9,71",10,"10,01","10,13",,,,,,
RLS039,39,Pakpak Bharat,Sumatera Utara,"7,45","7,77","8,08","8,25","8,39","8,45","8,46","8,47","8,48","8,73","9,03","9,14","9,39","9,61","9,73",,,,,,
RLS040,40,Samosir,Sumatera Utara,"8,36","8,41","8,46","8,52","8,57","8,84","8,94","8,95","9,14","9,15","9,43","9,44","9,46","9,47","9,61",,,,,,
RLS041,41,Serdang Bedagai,Sumatera Utara,"7,69","7,74","7,78","8,02","8,04","8,08","8,34","8,35","8,51","8,53","8,54","8,69","8,71","8,85","9,12",,,,,,
RLS042,42,Batu Bara,Sumatera Utara,"7,41","7,47","7,53","7,7","7,72","7,74","7,75","7,83","7,84","8,02","8,06","8,07","8,26","8,5","8,51",,,,,,
RLS043,43,Padang Lawas Utara,Sumatera Utara,"8,37","8,39","8,4","8,41","8,44","8,91","8,92","8,93","9,06","9,1","9,37","9,38","9,46","9,55","9,82",,,,,,
RLS044,44,Padang Lawas,Sumatera Utara,"7,65","7,97","8,13","8,14","8,16","8,4","8,41","8,43","8,67","8,69","9,01","9,02","9,31","9,43","9,63",,,,,,
