ID,NAMA_KAB_KOTA,PROVINSI
1,Simeulue,Aceh
2,Aceh Singkil,Aceh
3,Aceh Selatan,Aceh
4,Aceh Tenggara,Aceh
5,Aceh Timur,Aceh
6,Aceh Tengah,Aceh
7,Aceh Barat,Aceh
8,Aceh Besar,Aceh
9,Pidie,Aceh
10,Bireuen,Aceh
11,Aceh Utara,Aceh
12,Aceh Barat Daya,Aceh
13,Gayo Lues,Aceh
14,Aceh Tamiang,Aceh
15,Nagan Raya,Aceh
16,Aceh Jaya,Aceh
17,Bener Meriah,Aceh
18,Pidie Jaya,Aceh
19,Kota Banda Aceh,Aceh
20,Kota Sabang,Aceh
21,Kota Langsa,Aceh
22,Kota Lhokseumawe,Aceh
23,Kota Subulussalam,Aceh
24,Nias,Sumatera Utara
25,Mandailing Natal,Sumatera Utara
26,Tapanuli Selatan,Sumatera Utara
27,Tapanuli Tengah,Sumatera Utara
28,Tapanuli Utara,Sumatera Utara
29,Toba Samosir / Toba,Sumatera Utara
30,Labuhan Batu,Sumatera Utara
31,Asahan,Sumatera Utara
32,Simalungun,Sumatera Utara
33,Dairi,Sumatera Utara
34,Karo,Sumatera Utara
35,Deli Serdang,Sumatera Utara
36,Langkat,Sumatera Utara
37,Nias Selatan,Sumatera Utara
38,Humbang Hasundutan,Sumatera Utara
39,Pakpak Bharat,Sumatera Utara
40,Samosir,Sumatera Utara
41,Serdang Bedagai,Sumatera Utara
42,Batu Bara,Sumatera Utara
43,Padang Lawas Utara,Sumatera Utara
44,Padang Lawas,Sumatera Utara
45,Labuhan Batu Selatan,Sumatera Utara
46,Labuhan Batu Utara,Sumatera Utara
47,Nias Utara,Sumatera Utara
48,Nias Barat,Sumatera Utara
49,Kota Sibolga,Sumatera Utara
50,Kota Tanjung Balai,Sumatera Utara
51,Kota Pematang Siantar,Sumatera Utara
52,Kota Tebing Tinggi,Sumatera Utara
53,Kota Medan,Sumatera Utara
54,Kota Binjai,Sumatera Utara
55,Kota Padangsidimpuan,Sumatera Utara
56,Kota Gunungsitoli,Sumatera Utara
57,Kepulauan Mentawai,Sumatera Barat
58,Pesisir Selatan,Sumatera Barat
59,Solok,Sumatera Barat
60,Sijunjung,Sumatera Barat
61,Tanah Datar,Sumatera Barat
62,Padang Pariaman,Sumatera Barat
63,Agam,Sumatera Barat
64,Lima Puluh Kota,Sumatera Barat
65,Pasaman,Sumatera Barat
66,Solok Selatan,Sumatera Barat
67,Dharmasraya,Sumatera Barat
68,Pasaman Barat,Sumatera Barat
69,Kota Padang,Sumatera Barat
70,Kota Solok,Sumatera Barat
71,Kota Sawah Lunto,Sumatera Barat
72,Kota Padang Panjang,Sumatera Barat
73,Kota Bukittinggi,Sumatera Barat
74,Kota Payakumbuh,Sumatera Barat
75,Kota Pariaman,Sumatera Barat
76,Kuantan Singingi,Riau
77,Indragiri Hulu,Riau
78,Indragiri Hilir,Riau
79,Pelalawan,Riau
80,Siak,Riau
81,Kampar,Riau
82,Rokan Hulu,Riau
83,Bengkalis,Riau
84,Rokan Hilir,Riau
85,Kepulauan Meranti,Riau
86,Kota Pekanbaru,Riau
87,Kota Dumai,Riau
88,Kerinci,Jambi
89,Merangin,Jambi
90,Sarolangun,Jambi
91,Batang Hari,Jambi
92,Muaro Jambi,Jambi
93,Tanjung Jabung Timur,Jambi
94,Tanjung Jabung Barat,Jambi
95,Tebo,Jambi
96,Bungo,Jambi
97,Kota Jambi,Jambi
98,Kota Sungai Penuh,Jambi
99,Ogan Komering Ulu,Sumatera Selatan
100,Ogan Komering Ilir,Sumatera Selatan
101,Muara Enim,Sumatera Selatan
102,Lahat,Sumatera Selatan
103,Musi Rawas,Sumatera Selatan
104,Musi Banyuasin,Sumatera Selatan
105,Banyu Asin,Sumatera Selatan
106,Ogan Komering Ulu Selatan,Sumatera Selatan
107,Ogan Komering Ulu Timur,Sumatera Selatan
108,Ogan Ilir,Sumatera Selatan
109,Empat Lawang,Sumatera Selatan
110,Penukal Abab Lematang Ilir,Sumatera Selatan
111,Musi Rawas Utara,Sumatera Selatan
112,Kota Palembang,Sumatera Selatan
113,Kota Prabumulih,Sumatera Selatan
114,Kota Pagar Alam,Sumatera Selatan
115,Kota Lubuklinggau,Sumatera Selatan
116,Bengkulu Selatan,Bengkulu
117,Rejang Lebong,Bengkulu
118,Bengkulu Utara,Bengkulu
119,Kaur,Bengkulu
120,Seluma,Bengkulu
121,Mukomuko,Bengkulu
122,Lebong,Bengkulu
123,Kepahiang,Bengkulu
124,Bengkulu Tengah,Bengkulu
125,Kota Bengkulu,Bengkulu
126,Lampung Barat,Lampung
127,Tanggamus,Lampung
128,Lampung Selatan,Lampung
129,Lampung Timur,Lampung
130,Lampung Tengah,Lampung
131,Lampung Utara,Lampung
132,Way Kanan,Lampung
133,Tulangbawang,Lampung
134,Pesawaran,Lampung
135,Pringsewu,Lampung
136,Mesuji,Lampung
137,Tulang Bawang Barat,Lampung
138,Pesisir Barat,Lampung
139,Kota Bandar Lampung,Lampung
140,Kota Metro,Lampung
141,Bangka,Kep. Bangka Belitung
142,Belitung,Kep. Bangka Belitung
143,Bangka Barat,Kep. Bangka Belitung
144,Bangka Tengah,Kep. Bangka Belitung
145,Bangka Selatan,Kep. Bangka Belitung
146,Belitung Timur,Kep. Bangka Belitung
147,Kota Pangkal Pinang,Kep. Bangka Belitung
148,Karimun,Kepulauan Riau
149,Bintan,Kepulauan Riau
150,Natuna,Kepulauan Riau
151,Lingga,Kepulauan Riau
152,Kepulauan Anambas,Kepulauan Riau
153,Kota Batam,Kepulauan Riau
154,Kota Tanjung Pinang,Kepulauan Riau
155,Kep. Seribu,DKI Jakarta
156,Kota Jakarta Selatan,DKI Jakarta
157,Kota Jakarta Timur,DKI Jakarta
158,Kota Jakarta Pusat,DKI Jakarta
159,Kota Jakarta Barat,DKI Jakarta
160,Kota Jakarta Utara,DKI Jakarta
161,Bogor,Jawa Barat
162,Sukabumi,Jawa Barat
163,Cianjur,Jawa Barat
164,Bandung,Jawa Barat
165,Garut,Jawa Barat
166,Tasikmalaya,Jawa Barat
167,Ciamis,Jawa Barat
168,Kuningan,Jawa Barat
169,Cirebon,Jawa Barat
170,Majalengka,Jawa Barat
171,Sumedang,Jawa Barat
172,Indramayu,Jawa Barat
173,Subang,Jawa Barat
174,Purwakarta,Jawa Barat
175,Karawang,Jawa Barat
176,Bekasi,Jawa Barat
177,Bandung Barat,Jawa Barat
178,Pangandaran,Jawa Barat
179,Kota Bogor,Jawa Barat
180,Kota Sukabumi,Jawa Barat
181,Kota Bandung,Jawa Barat
182,Kota Cirebon,Jawa Barat
183,Kota Bekasi,Jawa Barat
184,Kota Depok,Jawa Barat
185,Kota Cimahi,Jawa Barat
186,Kota Tasikmalaya,Jawa Barat
187,Kota Banjar,Jawa Barat
188,Cilacap,Jawa Tengah
189,Banyumas,Jawa Tengah
190,Purbalingga,Jawa Tengah
191,Banjarnegara,Jawa Tengah
192,Kebumen,Jawa Tengah
193,Purworejo,Jawa Tengah
194,Wonosobo,Jawa Tengah
195,Magelang,Jawa Tengah
196,Boyolali,Jawa Tengah
197,Klaten,Jawa Tengah
198,Sukoharjo,Jawa Tengah
199,Wonogiri,Jawa Tengah
200,Karanganyar,Jawa Tengah
201,Sragen,Jawa Tengah
202,Grobogan,Jawa Tengah
203,Blora,Jawa Tengah
204,Rembang,Jawa Tengah
205,Pati,Jawa Tengah
206,Kudus,Jawa Tengah
207,Jepara,Jawa Tengah
208,Demak,Jawa Tengah
209,Semarang,Jawa Tengah
210,Temanggung,Jawa Tengah
211,Kendal,Jawa Tengah
212,Batang,Jawa Tengah
213,Pekalongan,Jawa Tengah
214,Pemalang,Jawa Tengah
215,Tegal,Jawa Tengah
216,Brebes,Jawa Tengah
217,Kota Magelang,Jawa Tengah
218,Kota Surakarta,Jawa Tengah
219,Kota Salatiga,Jawa Tengah
220,Kota Semarang,Jawa Tengah
221,Kota Pekalongan,Jawa Tengah
222,Kota Tegal,Jawa Tengah
223,Kulon Progo,DI Yogyakarta
224,Bantul,DI Yogyakarta
225,Gunung Kidul,DI Yogyakarta
226,Sleman,DI Yogyakarta
227,Kota Yogyakarta,DI Yogyakarta
228,Pacitan,Jawa Timur
229,Ponorogo,Jawa Timur
230,Trenggalek,Jawa Timur
231,Tulungagung,Jawa Timur
232,Blitar,Jawa Timur
233,Kediri,Jawa Timur
234,Malang,Jawa Timur
235,Lumajang,Jawa Timur
236,Jember,Jawa Timur
237,Banyuwangi,Jawa Timur
238,Bondowoso,Jawa Timur
239,Situbondo,Jawa Timur
240,Probolinggo,Jawa Timur
241,Pasuruan,Jawa Timur
242,Sidoarjo,Jawa Timur
243,Mojokerto,Jawa Timur
244,Jombang,Jawa Timur
245,Nganjuk,Jawa Timur
246,Madiun,Jawa Timur
247,Magetan,Jawa Timur
248,Ngawi,Jawa Timur
249,Bojonegoro,Jawa Timur
250,Tuban,Jawa Timur
251,Lamongan,Jawa Timur
252,Gresik,Jawa Timur
253,Bangkalan,Jawa Timur
254,Sampang,Jawa Timur
255,Pamekasan,Jawa Timur
256,Sumenep,Jawa Timur
257,Kota Kediri,Jawa Timur
258,Kota Blitar,Jawa Timur
259,Kota Malang,Jawa Timur
260,Kota Probolinggo,Jawa Timur
261,Kota Pasuruan,Jawa Timur
262,Kota Mojokerto,Jawa Timur
263,Kota Madiun,Jawa Timur
264,Kota Surabaya,Jawa Timur
265,Kota Batu,Jawa Timur
266,Pandeglang,Banten
267,Lebak,Banten
268,Tangerang,Banten
269,Serang,Banten
270,Kota Tangerang,Banten
271,Kota Cilegon,Banten
272,Kota Serang,Banten
273,Kota Tangerang Selatan,Banten
274,Jembrana,Bali
275,Tabanan,Bali
276,Badung,Bali
277,Gianyar,Bali
278,Klungkung,Bali
279,Bangli,Bali
280,Karangasem,Bali
281,Buleleng,Bali
282,Kota Denpasar,Bali
283,Lombok Barat,Nusa Tenggara Barat
284,Lombok Tengah,Nusa Tenggara Barat
285,Lombok Timur,Nusa Tenggara Barat
286,Sumbawa,Nusa Tenggara Barat
287,Dompu,Nusa Tenggara Barat
288,Bima,Nusa Tenggara Barat
289,Sumbawa Barat,Nusa Tenggara Barat
290,Lombok Utara,Nusa Tenggara Barat
291,Kota Mataram,Nusa Tenggara Barat
292,Kota Bima,Nusa Tenggara Barat
293,Sumba Barat,Nusa Tenggara Timur
294,Sumba Timur,Nusa Tenggara Timur
295,Kupang,Nusa Tenggara Timur
296,Timor Tengah Selatan,Nusa Tenggara Timur
297,Timor Tengah Utara,Nusa Tenggara Timur
298,Belu,Nusa Tenggara Timur
299,Alor,Nusa Tenggara Timur
300,Lembata,Nusa Tenggara Timur
301,Flores Timur,Nusa Tenggara Timur
302,Sikka,Nusa Tenggara Timur
303,Ende,Nusa Tenggara Timur
304,Ngada,Nusa Tenggara Timur
305,Manggarai,Nusa Tenggara Timur
306,Rote Ndao,Nusa Tenggara Timur
307,Manggarai Barat,Nusa Tenggara Timur
308,Sumba Tengah,Nusa Tenggara Timur
309,Sumba Barat Daya,Nusa Tenggara Timur
