id_prkapita,id_kab_kota,pengeluaran_2010,pengeluaran_2011,pengeluaran_2012,pengeluaran_2013,pengeluaran_2014,pengeluaran_2015,pengeluaran_2016,pengeluaran_2017,pengeluaran_2018,pengeluaran_2019,pengeluaran_2020,pengeluaran_2021,pengeluaran_2022,pengeluaran_2023,pengeluaran_2024
PRKAPITA001,1,5728,5781,5824,5920,5956,6328,6542,6677,6824,7210,7085,7148,7371,7686,8106
PRKAPITA002,2,7081,7123,7165,7208,7221,7602,8068,8230,8506,8715,8707,8776,8994,9374,9862
PRKAPITA003,3,6855,6890,6913,6989,7003,7224,7397,7567,7891,8187,8089,8180,8353,8712,9190
PRKAPITA004,4,6663,6731,6788,6899,6949,7001,7212,7359,7685,8067,8020,8030,8222,8566,8876
PRKAPITA005,5,6614,6897,7178,7219,7288,7623,7825,7961,8252,8600,8489,8577,9127,9436,9889
PRKAPITA006,6,9295,9330,9365,9400,9435,9473,9920,10021,10394,10782,10673,10780,10957,11323,11805
PRKAPITA007,7,7576,7632,7688,7744,7771,8135,8559,8989,9134,9692,9516,9593,9775,10085,10548
PRKAPITA008,8,8138,8246,8344,8497,8622,8775,8788,8965,9192,9661,9641,9644,9894,10309,10810
PRKAPITA009,9,9032,9076,9121,9167,9182,9233,9273,9377,9492,9824,9816,9860,10211,10584,11187
PRKAPITA010,10,6644,6822,6996,7232,7319,7622,7885,8237,8378,8889,8857,8867,9438,9758,10150
PRKAPITA011,11,6361,6465,6562,6714,6838,7327,7520,7632,7919,8189,8122,8201,8620,8970,9374
PRKAPITA012,12,6608,6655,6828,6966,7059,7303,7567,7723,8093,8491,8316,8428,8651,9043,9559
PRKAPITA013,13,7611,7635,7646,7709,7742,7780,8048,8322,8529,8845,8791,8856,9094,9407,9967
PRKAPITA014,14,7420,7455,7478,7554,7569,7750,7766,7931,8032,8362,8327,8367,8759,9050,9529
PRKAPITA015,15,6629,6834,6902,7019,7084,7141,7460,7732,7936,8348,8216,8292,8581,9062,9523
PRKAPITA016,16,8514,8596,8679,8691,8721,8749,8796,8898,9262,9682,9615,9666,10041,10461,11007
PRKAPITA017,17,9000,9289,9580,9645,9721,9760,10140,10428,10626,11124,11098,11118,11421,11855,12360
PRKAPITA018,18,8833,8935,9027,9173,9260,9398,9590,9691,9967,10364,10071,10290,10701,11005,11274
PRKAPITA019,19,13488,13846,14205,14629,14766,15362,15737,15917,16234,16892,16778,16891,17228,17521,18100
PRKAPITA020,20,9047,9254,9692,9718,9823,10041,10507,10610,10899,11444,11273,11378,11780,12137,12625
PRKAPITA021,21,9496,9713,9925,10198,10284,10605,11015,11261,11497,12099,12057,12067,12353,12678,13133
PRKAPITA022,22,8597,8900,9303,9580,9678,10093,10549,10673,10863,11421,11367,11390,11701,12125,12694
PRKAPITA023,23,6185,6230,6275,6320,6326,6504,6669,6887,7039,7463,7317,7385,7689,8065,8491
PRKAPITA024,24,5236,5505,5710,5914,5980,6234,6409,6629,6941,7042,6898,6995,7196,7301,7698
PRKAPITA025,25,8425,8829,8871,8960,9040,9096,9237,9385,9653,9900,9684,9771,10061,10251,10644
PRKAPITA026,26,10070,10213,10357,10504,10593,10623,10821,10955,11209,11410,11236,11304,11727,11829,12213
PRKAPITA027,27,8796,9222,9324,9382,9489,9555,9694,9852,10067,10175,10071,10138,10495,10690,11128
PRKAPITA028,28,10299,10740,10786,10850,10964,11079,11242,11407,11607,11791,11648,11710,11892,12115,12382
PRKAPITA029,29,10777,10909,11043,11178,11250,11535,11687,11846,12095,12375,12154,12224,12475,12676,12960
PRKAPITA030,30,9762,9909,10058,10210,10325,10356,10559,10760,11053,11193,11150,11212,11474,11670,12102
PRKAPITA031,31,9532,9652,9773,9895,9988,10067,10288,10477,10735,10983,10890,11030,11515,11795,12301
PRKAPITA032,32,10092,10224,10358,10494,10597,10728,10855,11055,11311,11422,11308,11376,11524,11746,12119
PRKAPITA033,33,9040,9461,9520,9580,9642,9708,10190,10395,10492,10602,10350,10504,10740,10969,11355
PRKAPITA034,34,11173,11265,11359,11453,11548,11800,11925,12059,12367,12474,12349,12412,12554,12779,13278
PRKAPITA035,35,10512,10647,10785,10924,11065,11359,11683,11891,12132,12317,12225,12291,12657,12890,13279
PRKAPITA036,36,9351,9850,9910,9970,10062,10364,10567,10784,11088,11208,11071,11142,11439,11632,12080
